season,home_team,away_team,home_score,away_score,location
2018,TCU,South Dakota,76,71,1
2018,Utah St,Miss Valley St,83,47,1
2018,San Diego,Robert Morris,65,53,1
2018,Santa Clara,Nevada,63,93,1
2018,UNLV,Prairie View A&M,98,63,1
2018,St Marys,Cal St-Fullerton,76,57,1
2018,Pacific,UC-Davis,58,62,1
2018,UCLA,Central Arkansas,106,101,1
2018,Texas St,UTSA,78,79,1
2018,Miami-FL,Florida A&M,90,59,1
2018,Florida,North Florida,108,68,1
2018,George Mason,Binghamton,69,57,1
2018,Middle Tenn St,Belmont,63,69,1
2018,Southern Utah,San Jose St,81,69,1
2018,South Carolina,Illinois St,65,69,0
2018,Indiana St,Auburn,64,83,0
2018,Old Dominion,Temple,65,76,0
2018,UTEP,Boise St,56,58,0
2018,Ohio,Clemson,76,81,0
2018,Appalachian St,Iowa St,98,104,0
2018,St Johns,Nebraska,79,56,1
2018,Virginia Tech,St Louis,71,77,0
2018,Notre Dame,Chicago St,105,66,1
2018,Michigan,Southern Miss,61,47,1
2018,Ohio St,TX-Southern,82,64,1
2018,North Carolina St,Presbyterian,86,68,1
2018,Cincinnati,Coppin St,97,54,1
2018,La Salle,South Alabama,81,73,1
2018,Eastern Michigan,Arkansas St,76,59,1
2018,Morehead St,Marshall,86,83,1
2018,Colgate,Cornell,72,61,1
2018,Holy Cross,Harvard,73,69,1
2018,Dayton,Hofstra,69,72,0
2018,Iowa,Grambling St,85,74,1
2018,Utah,Missouri,77,59,1
2018,LSU,Samford,105,86,1
2018,Western Michigan,Tulsa,74,81,0
2018,LA-Monroe,SE Louisiana,86,75,1
2018,Oklahoma St,Oral Roberts,91,48,1
2018,Evansville,SE Missouri St,66,50,1
2018,Kansas City,Loyola-Chicago,56,66,1
2018,IL-Chicago,Delaware St,95,55,1
2018,North Texas,Bethune-Cookman,90,78,1
2018,Wisconsin,Xavier,70,80,1
2018,California,Wofford,79,65,1
2018,Washington,Providence,70,77,0
2018,Arizona,Cal St-Bakersfield,91,59,1
2018,Fordham,Florida St,43,67,0
2018,Texas A&M,UC-Santa Barbara,84,65,1
2018,Ole Miss,Georgia St,77,72,1
2018,Kentucky,East Tennessee St,78,61,1
2018,Alabama,Alabama A&M,104,67,1
2018,Vanderbilt,NC-Asheville,79,76,1
2018,San Diego St,McNeese St,83,52,1
2018,LIU-Brooklyn,Miami-OH,74,78,0
2018,UTSA,Coastal Carolina,69,83,0
2018,New Mexico St,New Mexico,75,56,1
2018,James Madison,Northern Kentucky,78,87,0
2018,Loyola-MD,Towson,72,95,1
2018,Bradley,Vermont,64,65,0
2018,Liberty,Mercer,48,63,1
2018,Colorado St,Tulane,53,80,0
2018,Houston,Drexel,80,84,0
2018,VCU,Virginia,67,76,1
2018,Louisiana,Savannah St,115,82,1
2018,Quinnipiac,Colorado,69,70,0
2018,Stanford,Northeastern,73,59,1
2018,Florida Intl,Elon,87,95,0
2018,Duke,Southern U,78,61,1
2018,Louisville,NE-Omaha,87,78,1
2018,Penn St,Columbia,79,65,1
2018,East Carolina,Central Conn St,68,79,1
2018,Albany,Yale,80,72,1
2018,Ball St,Stony Brook,87,76,1
2018,Lehigh,Siena,91,90,1
2018,Cleveland St,Coppin St,80,56,1
2018,Northwestern St,Rice,65,87,1
2018,Arkansas,Fresno St,83,75,1
2018,Arizona St,Northern Arizona,97,62,1
2018,Lafayette,Villanova,57,104,0
2018,Baylor,Alcorn St,78,61,1
2018,Kansas,South Dakota St,98,64,1
2018,Missouri St,North Dakota St,54,57,1
2018,Weber St,Iona,72,80,0
2018,Wake Forest,Drake,74,77,0
2018,Illinois,DePaul,82,73,1
2018,Eastern Illinois,IUPUI,80,79,1
2018,UCLA,South Carolina St,96,68,1
2018,Kansas St,UC-Irvine,71,49,1
2018,Pepperdine,Northern Colorado,82,84,1
2018,San Francisco,Sacramento St,69,56,1
2018,UNLV,Eastern Washington,91,76,1
2018,Oregon,Alabama St,114,56,1
2018,Illinois St,Boise St,64,82,0
2018,Hofstra,Clemson,59,78,0
2018,Ohio,Dayton,65,79,0
2018,Tulsa,Iowa St,78,80,0
2018,Indiana St,Old Dominion,44,62,0
2018,St Louis,Providence,63,90,0
2018,UTEP,South Carolina,56,80,0
2018,Auburn,Temple,74,88,0
2018,Washington,Virginia Tech,79,103,0
2018,Appalachian St,Western Michigan,67,86,0
2018,Syracuse,TX-Southern,80,67,1
2018,Maryland,Bucknell,80,78,1
2018,Gonzaga,Utah St,79,66,1
2018,Mississippi St,Florida A&M,79,48,1
2018,Oregon St,Long Beach St,89,81,1
2018,Washington St,Idaho St,83,62,1
2018,Belmont,Houston Christian,93,88,1
2018,Texas,Lipscomb,80,57,1
2018,Wagner,American U,71,70,1
2018,West Virginia,Morgan St,111,48,1
2018,George Mason,Cal St-Northridge,78,73,1
2018,George Washington,Hampton,65,57,1
2018,St Josephs,Princeton,71,58,1
